trade/reward,trade/sl_price,time/iterations,time/total_timesteps,trade/trade_pnl,trade/tp_price,time/time_elapsed,trade/exit_price,trade/entry_price,trade/balance,time/fps,trade/action,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/loss
-0.01,0.0,1,16384,0.0,0.0,5,0.0,0.0,10043.297012428844,2814,2,,,,,,,,,,
0.00014859099133627686,28117.54123888718,2,32768,0.00297204063049125,27992.37752222564,23,27992.37752222564,28075.82,9959.389884040156,1375,1,-0.002610962722792465,-1.0920510311145335,0.0003,10,0.2,0.0072384095,-0.05882072448730469,0.028801170594670113,0.07056884765625,0.03987714648246765
-4.518442560542227e-05,27093.76485437993,3,49152,-0.0009036680960919594,27180.840291240143,41,27098.28,27122.79,9946.879181538678,1173,0,-0.006292822649265872,-1.0875651387963443,0.0003,20,0.2,0.00879314,-0.11958348751068115,0.006683140279437794,0.0802734375,-0.010017408058047295
-0.01,0.0,4,65536,0.0,0.0,60,0.0,0.0,9920.24755810423,1090,2,-0.005922966578873456,-1.0751425246242434,0.0003,30,0.2,0.008647535,-0.32746171951293945,0.003302790804173128,0.087640380859375,-0.01251974981278181
-0.01,0.0,5,81920,0.0,0.0,79,0.0,0.0,9959.89771324701,1032,2,-0.008972308617012459,-1.0496880785096436,0.0003,40,0.2,0.009401936,0.20009452104568481,0.0012863675449239053,0.1342041015625,0.01024454552680254
-2.837369614122574e-05,29883.942254026195,6,98304,-0.0005674658722361625,29934.845491947606,98,29883.942254026195,29900.91,9998.517676647078,993,0,-0.013238428247495904,-1.0186684653395788,0.0003,50,0.2,0.0114928875,-0.4270976781845093,0.0006728001573151233,0.169158935546875,0.011358467862010002
-3.439681569594276e-05,27421.473111422634,7,114688,-0.000687924482645604,27478.10377715473,118,27421.473111422634,27440.35,10014.630885399187,967,0,-0.012678587568552757,-0.9551608112407848,0.0003,60,0.2,0.010115273,-0.4547092914581299,0.0003738275635157606,0.14647216796875,-0.007002450060099363
0.00018432980333920153,28426.526964643203,8,131072,0.0036869358624271984,28269.606070713602,138,28269.606070713602,28374.22,10080.17659027962,948,1,-0.015501749411669152,-0.9583820720203221,0.0003,70,0.2,0.015136116,0.18479889631271362,0.00036545727476777756,0.1667236328125,-0.05202454328536987
2.500203933192672e-05,27665.579563001902,9,147456,0.0005000470377097596,27581.040873996204,158,27623.58,27637.4,10058.022654054528,932,1,-0.014314193123391305,-0.8752505856566131,0.0003,80,0.2,0.017164668,-0.7111639976501465,0.00021781491310548517,0.12767333984375,-0.01565425656735897
-3.228861416615332e-05,26962.287532345163,10,163840,-0.0006457618578864083,27014.554935309676,177,26962.287532345163,26979.71,10099.291210085385,922,0,-0.0169631929084062,-0.7932513693114742,0.0003,90,0.2,0.02511745,-0.9561355113983154,0.00016160850553603723,0.126348876953125,-0.02882232889533043
1.2998671534027199e-05,27187.850469118934,11,180224,0.00025997512034420077,27209.029061762136,197,27201.98,27194.91,10112.774177127178,912,0,-0.01873323030558822,-0.9226178579498082,0.0003,100,0.2,0.02872162,-0.3334541320800781,0.0003136464731767319,0.231768798828125,0.0063155218958854675
3.374373384663173e-05,27756.374557834573,12,196608,0.0006748860634586636,27790.200884330858,217,27786.39,27767.65,10143.826249406296,905,0,-0.01881599995904253,-0.8745026910677552,0.0003,110,0.2,0.021531872,0.3352587819099426,0.0002762949003454196,0.1951904296875,-0.030899789184331894
-2.3490382012660952e-05,26904.158146065183,13,212992,-0.00046980212231707955,26970.373707869632,237,26913.58,26926.23,10158.123607990714,897,0,-0.010490946615573194,-0.7919127990491688,0.0003,120,0.2,0.012021606,0.8154562711715698,0.0004492801075002717,0.138677978515625,-0.014216015115380287
-0.01,0.0,14,229376,0.0,0.0,257,0.0,0.0,10218.805173098332,890,2,-0.010735847477553762,-0.7619683165103197,0.0003,130,0.2,0.014084952,0.8085521459579468,0.0007587416648789258,0.12750244140625,-0.014550873078405857
-3.080096194182949e-05,28907.796521733526,15,245760,-0.0006160097519392827,28854.406956532945,277,28907.796521733526,28890.0,10257.159218894141,885,1,-0.01394394324379391,-0.9247656855732203,0.0003,140,0.2,0.014306588,0.7700923681259155,0.000834094163701593,0.22064208984375,-0.03130108490586281
-2.175190190348402e-05,30256.67161141303,16,262144,-0.00043503330665016927,30296.176777173943,297,30256.67161141303,30269.84,10317.498765233047,881,0,-0.010523599967564223,-0.7750036129495129,0.0003,150,0.2,0.015132068,0.9468538761138916,0.0013056042868242912,0.183392333984375,-0.01684500277042389
-4.084901617404005e-05,30392.79988601828,17,278528,-0.0008169636372869013,30467.350227963438,317,30392.79988601828,30417.65,10322.121016028548,877,0,-0.004043644860030326,-0.5336199503741227,0.0003,160,0.2,0.0057558296,0.18096524477005005,0.0012918249410859063,0.04781494140625,-0.017571834847331047
-3.869671618267551e-05,30459.18878673181,18,294912,-0.0007739193494880669,30529.96242653637,337,30459.18878673181,30482.78,10351.945010977906,874,0,-0.004258037621548283,-0.48716485807672144,0.0003,170,0.2,0.0057296716,0.5706884860992432,0.0005148569120137836,0.0568603515625,-0.03259711712598801
-2.9663331536172424e-05,29997.213354317068,19,311296,-0.0005932578316767028,30050.633291365866,358,29997.213354317068,30015.02,10387.52899918411,869,0,-0.004306561773955764,-0.4477287281653844,0.0003,180,0.2,0.0040704315,0.6298829317092896,0.00015883698027607807,0.04024658203125,-0.00492367846891284
7.5145573556503235e-06,29457.981594740362,20,327680,0.00015029171180225179,29512.06681051927,378,29480.44,29476.01,10391.178966750158,864,0,-0.014082618642532907,-0.4407885541440919,0.0003,190,0.2,0.0319935,0.901959240436554,8.097287468302738e-05,0.079217529296875,-0.015407982282340527
9.414836258552366e-06,29198.751398734745,21,344064,0.00018829761156462306,29229.737202530512,399,29214.58,29209.08,10394.685833282067,861,0,-0.0034043707531964174,-0.37704228101065385,0.0003,200,0.2,0.008828531,0.46356695890426636,0.0002553352292807176,0.06798095703125,-0.012221417389810085
-1.1015147273014829e-05,29541.120605930642,22,360448,-0.00022030173213075557,29560.64878813872,420,29541.120605930642,29547.63,10433.397075277897,857,0,-0.005214705861544644,-0.3695837043807842,0.0003,210,0.2,0.008130747,0.3866974711418152,0.0003503854512672433,0.05909423828125,0.0003838092088699341
