trade/reward,trade/sl_price,time/iterations,time/total_timesteps,trade/trade_pnl,trade/tp_price,time/time_elapsed,trade/exit_price,trade/entry_price,trade/balance,time/fps,trade/action,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/loss
7.642745906295355e-05,24204.785065859134,1,16384,0.0015286075943105847,24362.53986828173,5,24294.45,24257.37,10004.329415081536,2771,0,,,,,,,,,,
0.00014859099133627686,28117.54123888718,2,32768,0.00297204063049125,27992.37752222564,24,27992.37752222564,28075.82,9921.609287468711,1348,1,-0.005190525010766578,-1.0916490346658976,0.0003,10,0.2,0.008107272,-2.5120437145233154,0.008904722918759943,0.079547119140625,0.016285311430692673
-0.01,0.0,3,49152,0.0,0.0,42,0.0,0.0,9920.689114892435,1147,2,-0.006357473950447457,-1.0679059999063611,0.0003,20,0.2,0.010731514,-1.3764665126800537,0.0019538132831030453,0.130810546875,0.003752690739929676
3.184634095902565e-05,27883.188402699732,4,65536,0.0006369369611827292,27836.87319460054,61,27850.0,27867.75,9936.019334130166,1068,1,-0.009738922417272988,-1.0544371246360242,0.0003,30,0.2,0.013203999,-0.8375124931335449,0.0009436426973934431,0.17333984375,0.008577943779528141
-3.5943309359456513e-05,30057.37131861382,5,81920,-0.0007188532681295601,29992.59736277236,80,30057.37131861382,30035.78,9984.749364692214,1022,1,-0.015360087207591277,-1.013627105555497,0.0003,40,0.2,0.0123465,-0.03924524784088135,0.00045848017558114407,0.183148193359375,-0.030022941529750824
3.730586101853945e-05,29917.877745973805,6,98304,0.0007461311378149129,29866.974508052394,98,29878.6,29900.91,9982.955800855205,994,1,-0.018411290796393587,-0.9872713130665943,0.0003,50,0.2,0.013202579,0.3664904832839966,0.00034310468729472634,0.181964111328125,-0.007185938768088818
-3.439681569594276e-05,27421.473111422634,7,114688,-0.000687924482645604,27478.10377715473,117,27421.473111422634,27440.35,9965.486149338049,973,0,-0.01960345664392662,-0.9049418199108914,0.0003,60,0.2,0.026879754,-0.06626677513122559,0.00020310127581808503,0.148681640625,-0.015003882348537445
-9.217764478932528e-05,28321.9130353568,8,131072,-0.0018434679312136634,28478.8339292864,137,28321.9130353568,28374.22,10002.086037523319,955,0,-0.021661062792190933,-0.8573130137752741,0.0003,70,0.2,0.037382774,-0.8305212259292603,0.00015576624278423878,0.148162841796875,-0.017713749781250954
2.500203933192672e-05,27665.579563001902,9,147456,0.0005000470377097596,27581.040873996204,156,27623.58,27637.4,10043.71403362226,943,1,-0.012876289333144086,-0.7857194122159854,0.0003,80,0.2,0.019750228,-0.2346799373626709,0.00011471947830870022,0.085443115234375,-0.012710011564195156
4.156741088902609e-05,26997.132467654836,10,163840,0.0008313654965157258,26944.865064690322,175,26957.28,26979.71,10049.378495343066,932,1,-0.012333086633952916,-0.719912251830101,0.0003,90,0.2,0.016064148,0.24861782789230347,9.276706157237413e-05,0.084423828125,-0.03606203570961952
1.2998671534027199e-05,27187.850469118934,11,180224,0.00025997512034420077,27209.029061762136,195,27201.98,27194.91,10056.485362076914,923,0,-0.0115242741201655,-0.7084553102729843,0.0003,100,0.2,0.013354688,0.38193750381469727,0.00010048532064104166,0.077105712890625,-0.03942679986357689
-2.030340455653959e-05,27778.92544216543,12,196608,-0.0004060639688784648,27745.099115669145,214,27778.92544216543,27767.65,10100.219139923587,915,1,-0.007433963165385649,-0.6574152598856017,0.0003,110,0.2,0.0073036887,0.2247348427772522,4.0370776941500706e-05,0.049005126953125,0.008174574933946133
2.348983022779751e-05,26948.301853934816,13,212992,0.00046980212231707955,26882.086292130367,234,26913.58,26926.23,10133.112929616635,909,1,-0.006050662900725002,-0.6336694471305236,0.0003,120,0.2,0.008624629,0.10693717002868652,2.296069322120786e-05,0.04862060546875,-0.03500969335436821
-1.6931906868167706e-05,25903.298801170582,14,229376,-0.0003386352704831165,25876.992397658832,254,25903.298801170582,25894.53,10185.838170604991,902,1,-0.0060413281804358124,-0.633689133124426,0.0003,130,0.2,0.008191751,0.3007849454879761,1.6126006662986468e-05,0.051324462890625,0.006848294287919998
-3.080096194182949e-05,28907.796521733526,15,245760,-0.0006160097519392827,28854.406956532945,273,28907.796521733526,28890.0,10195.094994505233,897,1,0.011378125348164759,-0.660446808906272,0.0003,140,0.2,0.08333036,-0.14238572120666504,1.3091604758397324e-05,0.10972900390625,-0.03725345432758331
4.350238442249373e-05,30283.00838858697,16,262144,0.0008700666133003385,30243.503222826057,293,30243.503222826057,30269.84,10240.929869119367,892,1,-0.01565109764560475,-0.7010205045808107,0.0003,150,0.2,0.015078075,-0.22304677963256836,0.00013126164871550826,0.143817138671875,0.00015799888933543116
-4.084901617404005e-05,30392.79988601828,17,278528,-0.0008169636372869013,30467.350227963438,313,30392.79988601828,30417.65,10255.813032545784,887,0,-0.008412142483939533,-0.5939043930033222,0.0003,160,0.2,0.012387164,-0.8916816711425781,1.7690052790264586e-05,0.05843505859375,-0.023421697318553925
-3.869671618267551e-05,30459.18878673181,18,294912,-0.0007739193494880669,30529.96242653637,333,30459.18878673181,30482.78,10284.605365662801,883,0,-0.007477974493667716,-0.6097981942351908,0.0003,170,0.2,0.0069878143,0.04856431484222412,1.4915226010714377e-05,0.06046142578125,-0.022940997034311295
5.932402346290797e-05,30032.826645682933,19,311296,0.0011865156633534056,29979.406708634135,353,29979.406708634135,30015.02,10302.742555368059,879,1,-0.009325580080439978,-0.5886079017771408,0.0003,180,0.2,0.016996082,0.0014127492904663086,7.790849161448677e-06,0.063690185546875,-0.01924934610724449
7.5145573556503235e-06,29457.981594740362,20,327680,0.00015029171180225179,29512.06681051927,374,29480.44,29476.01,10321.667432003253,875,0,-0.008580483849254961,-0.6055705301929265,0.0003,190,0.2,0.05279749,0.3669682741165161,2.8559223815172176e-06,0.0859130859375,-0.023326333612203598
-1.768061947441772e-05,29219.40860126526,21,344064,-0.0003536092634638619,29188.42279746949,394,29219.40860126526,29209.08,10343.97423444253,871,1,-0.004371944890954183,-0.6052463027415798,0.0003,200,0.2,0.0067725326,-0.16008973121643066,5.532673857224779e-05,0.058355712890625,-0.04717981442809105
-1.1015147273014829e-05,29541.120605930642,22,360448,-0.00022030173213075557,29560.64878813872,415,29541.120605930642,29547.63,10389.439508112495,868,0,-0.009048871308550588,-0.5905767431715503,0.0003,210,0.2,0.009030871,0.13104373216629028,3.959167744227443e-05,0.091705322265625,-0.02325020171701908
2.6049391710827736e-05,28697.683722528087,23,376832,0.0005209946199826352,28675.262554943827,435,28675.262554943827,28690.21,10420.365447271592,864,1,-0.00832963831453526,-0.5740387584781275,0.0003,220,0.2,0.0071628666,0.5731828212738037,3.147044153806178e-05,0.060400390625,-0.011066603474318981
1.535424261006571e-05,26454.570769080834,24,393216,0.00030708720974203846,26416.858461838336,456,26433.88,26442.0,10463.198038637847,861,1,-0.006444675505917985,-0.5406019512913189,0.0003,230,0.2,0.0055578277,0.2624470591545105,1.3905326486174374e-05,0.0518798828125,-0.02427658811211586
7.477197928057131e-05,27162.194385628,25,409600,0.0014954954954954313,27260.611228743994,476,27235.67,27195.0,10476.35569389563,858,0,-0.008526721146699856,-0.5469024734571576,0.0003,240,0.2,0.0070373667,0.5989433526992798,3.302044502149215e-05,0.064227294921875,-0.015826227143406868
-3.453259899405345e-05,25786.55693782408,26,425984,-0.0006906400550155071,25733.166124351836,497,25786.55693782408,25768.76,10518.423699996712,855,1,-0.007570395311086031,-0.5283389684162103,0.0003,250,0.2,0.011891427,0.6344800591468811,2.1275909643669876e-05,0.068670654296875,-0.015517745167016983
4.5559425279160915e-05,26667.373482248517,27,442368,0.0009112092625096623,26602.983035502966,518,26621.63,26645.91,10556.173048712491,852,1,-0.008829113311730908,-0.49370556720532477,0.0003,260,0.2,0.007420249,-0.021414637565612793,2.869429828677994e-06,0.055682373046875,-0.005313831847161055
2.7291567450064266e-05,26593.632292963917,28,458752,0.0005458387973639635,26561.55541407216,539,26568.43,26582.94,10565.851740477385,849,1,0.03791980148635048,-0.5447097357362509,0.0003,270,0.2,0.096256986,0.41607075929641724,1.7059743943059757e-06,0.13682861328125,-0.04528353735804558
