trade/reward,trade/sl_price,time/iterations,time/total_timesteps,trade/trade_pnl,trade/tp_price,time/time_elapsed,trade/exit_price,trade/entry_price,trade/balance,time/fps,trade/action,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/loss
7.642745906295355e-05,24204.785065859134,1,16384,0.0015286075943105847,24362.53986828173,5,24294.45,24257.37,10017.090541556561,2762,0,,,,,,,,,,
-0.01,0.0,2,32768,0.0,0.0,23,0.0,0.0,10016.092475004007,1395,2,-0.003838094612910936,-1.0931136875413359,0.0003,10,0.2,0.006876545,-1.875091791152954,0.0131054070106984,0.0488037109375,-0.004954472184181213
-4.518442560542227e-05,27093.76485437993,3,49152,-0.0009036680960919594,27180.840291240143,41,27098.28,27122.79,10071.772797134241,1193,0,-0.00505405853400589,-1.0810664026532322,0.0003,20,0.2,0.008096766,-1.1143300533294678,0.0053817054680621364,0.07430419921875,-0.008007134310901165
3.184634095902565e-05,27883.188402699732,4,65536,0.0006369369611827292,27836.87319460054,58,27850.0,27867.75,10055.768958694274,1114,1,-0.00902457532738481,-1.0640162643510849,0.0003,30,0.2,0.010129189,-2.8730733394622803,0.001337942414409099,0.10174560546875,-0.004618234466761351
1.461579462367569e-05,30014.18868138618,5,81920,0.0002923180286978555,30078.962637227636,76,30044.56,30035.78,10080.25459138207,1064,0,-0.015137759444405674,-1.0273076051380485,0.0003,40,0.2,0.010933291,-1.2593421936035156,0.0004936760976875121,0.16287841796875,-0.014851650223135948
3.730586101831741e-05,29917.877745973805,6,98304,0.0007461311378149129,29866.974508052394,95,29878.6,29900.91,10112.686344149834,1033,1,-0.017708417481844662,-0.9966085345484317,0.0003,50,0.2,0.013268188,-0.49760961532592773,0.0003053541093322565,0.175933837890625,-0.04789791628718376
6.87900821725639e-05,27459.226888577363,7,114688,0.0013758489652913406,27402.596222845266,113,27402.596222845266,27440.35,10135.169020177942,1007,1,-0.019522381746173777,-0.9401718135690317,0.0003,60,0.2,0.010422568,-0.5074362754821777,0.0002027903221744509,0.152130126953125,-0.012139182537794113
-9.217764478921426e-05,28321.9130353568,8,131072,-0.0018434679312136634,28478.8339292864,132,28321.9130353568,28374.22,10146.27784034424,989,0,-0.020575015896974948,-0.8957439388148487,0.0003,70,0.2,0.016992185,-0.012700080871582031,0.0001813798213646578,0.158099365234375,-0.04618856683373451
2.500203933192672e-05,27665.579563001902,9,147456,0.0005000470377097596,27581.040873996204,151,27623.58,27637.4,10141.850875915647,972,1,-0.017698167247726816,-0.8110984862549231,0.0003,80,0.2,0.017842285,-0.31342577934265137,0.0001146553889341817,0.118670654296875,-0.03187217935919762
-3.228861416593127e-05,26962.287532345163,10,163840,-0.0006457618578864083,27014.554935309676,170,26962.287532345163,26979.71,10197.468608714034,959,0,-0.01597239111106319,-0.7129778823815286,0.0003,90,0.2,0.023607284,-0.07211196422576904,6.046552262972682e-05,0.1023681640625,-0.013389905914664268
