trade/reward,trade/sl_price,time/iterations,time/total_timesteps,trade/trade_pnl,trade/tp_price,time/time_elapsed,trade/exit_price,trade/entry_price,trade/balance,time/fps,trade/action,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/loss
7.642745906295355e-05,24204.785065859134,1,16384,0.0015286075943105847,24362.53986828173,5,24294.45,24257.37,9966.517298842793,2935,0,,,,,,,,,,
-0.01,0.0,2,32768,0.0,0.0,23,0.0,0.0,9945.769972448425,1386,2,-0.0041993347913376056,-1.0920563760213553,0.0003,10,0.2,0.007922886,-1.2435693740844727,0.007823912233106967,0.07440185546875,-0.00345649104565382
-4.518442560542227e-05,27093.76485437993,3,49152,-0.0009036680960919594,27180.840291240143,41,27098.28,27122.79,9929.943082968488,1187,0,-0.008318886553388439,-1.0714947175700218,0.0003,20,0.2,0.010813822,-0.8777540922164917,0.002018421539310111,0.15440673828125,0.0192972794175148
-0.01,0.0,4,65536,0.0,0.0,59,0.0,0.0,9946.444322162679,1101,2,-0.00990512820535514,-1.0412421066313982,0.0003,30,0.2,0.01131559,0.35324418544769287,0.0015866517594531615,0.152593994140625,-0.030056720599532127
1.461579462367569e-05,30014.18868138618,5,81920,0.0002923180286978555,30078.962637227636,77,30044.56,30035.78,9965.234072364978,1052,0,-0.010264173512223352,-1.0041074000298977,0.0003,40,0.2,0.009717337,0.3498111367225647,0.0008297204139466885,0.1250244140625,-0.011442230083048344
-2.8373696141336766e-05,29883.942254026195,6,98304,-0.0005674658722361625,29934.845491947606,96,29883.942254026195,29900.91,9963.151278247327,1021,0,-0.013137269544313313,-0.9812397359171883,0.0003,50,0.2,0.012917861,0.6244086027145386,0.000529192545116075,0.15809326171875,-0.024618426337838173
6.879008217278593e-05,27459.226888577363,7,114688,0.0013758489652913406,27402.596222845266,114,27402.596222845266,27440.35,9978.490807154836,998,1,-0.01448598474598839,-0.8984406177652999,0.0003,60,0.2,0.01795407,0.5461170077323914,0.0003178635138112895,0.152392578125,-0.01389443688094616
0.00018432980333920153,28426.526964643203,8,131072,0.0036869358624271984,28269.606070713602,133,28269.606070713602,28374.22,10027.52823077438,980,1,-0.010342809767098515,-0.8185962550807744,0.0003,70,0.2,0.013524026,0.5042990446090698,0.0001690908939167457,0.0978515625,-0.014834175817668438
2.500203933192672e-05,27665.579563001902,9,147456,0.0005000470377097596,27581.040873996204,152,27623.58,27637.4,10035.10267582792,965,1,-0.012704315787777887,-0.7683589636115358,0.0003,80,0.2,0.009890253,0.014235496520996094,0.00010972366373636077,0.099468994140625,-0.011977912858128548
4.156741088902609e-05,26997.132467654836,10,163840,0.0008313654965157258,26944.865064690322,171,26957.28,26979.71,10040.925017216787,954,1,-0.011106178523914424,-0.6892322078347206,0.0003,90,0.2,0.010124488,0.27506107091903687,6.674595633953118e-05,0.078118896484375,-0.02143239788711071
