trade/reward,trade/sl_price,time/iterations,time/total_timesteps,trade/trade_pnl,trade/tp_price,time/time_elapsed,trade/exit_price,trade/entry_price,trade/balance,time/fps,trade/action,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/loss
-0.01,0.0,1,16384,0.0,0.0,6,0.0,0.0,9972.280839231486,2699,2,,,,,,,,,,
-7.430377621954374e-05,28034.09876111282,2,32768,-0.0014860203152456898,28159.26247777436,24,28034.09876111282,28075.82,9891.747445687139,1323,0,-0.0036482304227320127,-1.092498506233096,0.0003,10,0.2,0.00817357,-1.7045214176177979,0.015891927860866416,0.07677001953125,-0.004306601360440254
-4.518442560542227e-05,27093.76485437993,3,49152,-0.0009036680960919594,27180.840291240143,43,27098.28,27122.79,9861.865790396878,1131,0,-0.007132393733627396,-1.0693576361052692,0.0003,20,0.2,0.009782713,-1.7249138355255127,0.0031403042109332093,0.11971435546875,-0.021037975326180458
-0.01,0.0,4,65536,0.0,0.0,62,0.0,0.0,9872.728300286022,1054,2,-0.00905574685511965,-1.053409568266943,0.0003,30,0.2,0.011276799,-2.416569232940674,0.0008190021941572922,0.157415771484375,-0.0021154703572392464
-3.594330935956754e-05,30057.37131861382,5,81920,-0.0007188532681295601,29992.59736277236,80,30057.37131861382,30035.78,9914.322520811535,1014,1,-0.018531780511329997,-1.0183964853174985,0.0003,40,0.2,0.017915837,-0.40357911586761475,0.00035192721332464314,0.1949462890625,-0.03563893958926201
3.730586101831741e-05,29917.877745973805,6,98304,0.0007461311378149129,29866.974508052394,99,29878.6,29900.91,9903.98550722739,986,1,-0.022488240947495797,-0.9687742702430114,0.0003,50,0.2,0.023356242,-0.23264634609222412,0.0002204584921116748,0.200140380859375,0.019583040848374367
-0.01,0.0,7,114688,0.0,0.0,118,0.0,0.0,9907.828100392448,966,2,-0.019021214966051046,-0.8976070584263652,0.0003,60,0.2,0.013566246,0.2950935363769531,0.00014556935719838292,0.13612060546875,-0.0035655894316732883
0.00018432980333920153,28426.526964643203,8,131072,0.0036869358624271984,28269.606070713602,137,28269.606070713602,28374.22,9949.188457053879,952,1,-0.01627893663062423,-0.783837006171234,0.0003,70,0.2,0.024750287,0.5005815029144287,0.00010581053947049668,0.106805419921875,-0.025335194543004036
2.5002039331704677e-05,27665.579563001902,9,147456,0.0005000470377097596,27581.040873996204,157,27623.58,27637.4,9952.390006459369,938,1,-0.011478665715912939,-0.7559075774624944,0.0003,80,0.2,0.011244332,0.35353273153305054,5.7088077791433986e-05,0.065777587890625,-0.03313880413770676
4.156741088902609e-05,26997.132467654836,10,163840,0.0008313654965157258,26944.865064690322,176,26957.28,26979.71,9994.858444639198,927,1,-0.009475839708647982,-0.6928231799509377,0.0003,90,0.2,0.016092414,0.000517725944519043,2.6042528133274346e-05,0.051116943359375,-0.001656020525842905
