trade/reward,trade/sl_price,time/iterations,time/total_timesteps,trade/trade_pnl,trade/tp_price,time/time_elapsed,trade/exit_price,trade/entry_price,trade/balance,time/fps,trade/action,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/loss
-0.01,0.0,1,16384,0.0,0.0,6,0.0,0.0,10008.288609553918,2720,2,,,,,,,,,,
-7.430377621943271e-05,28034.09876111282,2,32768,-0.0014860203152456898,28159.26247777436,24,28034.09876111282,28075.82,9974.054399838005,1355,0,-0.004445913337622187,-1.0911385267507285,0.0003,10,0.2,0.0093623055,-4.980206489562988,0.015406296184119128,0.0897705078125,-0.03965803235769272
-4.518442560531125e-05,27093.76485437993,3,49152,-0.0009036680960919594,27180.840291240143,42,27098.28,27122.79,10026.643823836132,1153,0,-0.006613648437269149,-1.074721472291276,0.0003,20,0.2,0.0097399745,-7.652790069580078,0.00232476302910527,0.110186767578125,-0.006880549713969231
-0.01,0.0,4,65536,0.0,0.0,61,0.0,0.0,10014.044097054253,1073,2,-0.011554451823394629,-1.0446605913341045,0.0003,30,0.2,0.011273766,-2.540222644805908,0.0008898472993678297,0.15057373046875,-0.0407741442322731
1.461579462367569e-05,30014.18868138618,5,81920,0.0002923180286978555,30078.962637227636,79,30044.56,30035.78,10043.336930829633,1026,0,-0.017711879278976994,-1.0149958549300209,0.0003,40,0.2,0.011176672,-0.7319207191467285,0.0005069188869470054,0.1936767578125,-0.020366467535495758
-2.837369614122574e-05,29883.942254026195,6,98304,-0.0005674658722361625,29934.845491947606,98,29883.942254026195,29900.91,10017.06730578788,995,0,-0.01808877696203126,-0.9791870571207255,0.0003,50,0.2,0.012486143,-0.650848388671875,0.00037711610876840497,0.181939697265625,-0.009676702320575714
-0.01,0.0,7,114688,0.0,0.0,117,0.0,0.0,10063.197033862469,974,2,-0.015635172943257204,-0.8796358208870515,0.0003,60,0.2,0.012295851,-0.21760666370391846,0.00027397425607773586,0.131756591796875,-0.0168373454362154
0.00018432980333920153,28426.526964643203,8,131072,0.0036869358624271984,28269.606070713602,136,28269.606070713602,28374.22,10099.361033033121,959,1,-0.01683671848550148,-0.9028471501776949,0.0003,70,0.2,0.017047442,-0.4165799617767334,0.0002708411604317007,0.140478515625,-0.028773045167326927
-2.500266444952672e-05,27609.2204369981,9,147456,-0.0005000470377097596,27693.7591260038,155,27623.58,27637.4,10139.115172986938,945,0,-0.016058958068606445,-0.7724495276808738,0.0003,80,0.2,0.019404275,-0.10366809368133545,0.0001568418390206716,0.111175537109375,-0.05062204971909523
-3.2288614166042296e-05,26962.287532345163,10,163840,-0.0006457618578864083,27014.554935309676,175,26962.287532345163,26979.71,10191.278436522754,935,0,-0.01088574344285007,-0.7415931940777227,0.0003,90,0.2,0.016945094,0.32917648553848267,0.00012253969301099233,0.082769775390625,-0.017176175490021706
1.2998671534027199e-05,27187.850469118934,11,180224,0.00025997512034420077,27209.029061762136,194,27201.98,27194.91,10193.007624874464,926,0,-0.012618837487207202,-0.8765852449927479,0.0003,100,0.2,0.014286424,0.34925270080566406,0.00042181872076980654,0.156689453125,-0.045335572212934494
3.374373384663173e-05,27756.374557834573,12,196608,0.0006748860634586636,27790.200884330858,214,27786.39,27767.65,10207.962534771239,917,0,-0.008739825781049149,-0.8100615677889437,0.0003,110,0.2,0.008301371,0.45419925451278687,0.00041015187728135063,0.081781005859375,-0.03975673392415047
-0.01,0.0,13,212992,0.0,0.0,233,0.0,0.0,10260.940699927036,911,2,-0.009892287397633481,-0.7933837106451392,0.0003,120,0.2,0.011080928,0.7640354037284851,0.0004256026039001881,0.1097412109375,-0.014604759402573109
-1.693190686805668e-05,25903.298801170582,14,229376,-0.0003386352704831165,25876.992397658832,253,25903.298801170582,25894.53,10278.092273093012,904,1,-0.008711679411135265,-0.7885611154139042,0.0003,130,0.2,0.008885088,0.7252806425094604,0.0006628956098779781,0.086859130859375,-0.015423891134560108
6.159907793176325e-05,28872.203478266474,15,245760,0.0012320195038786914,28925.593043467055,273,28925.593043467055,28890.0,10337.358286384415,899,0,-0.012234888988677995,-0.9470873710233718,0.0003,140,0.2,0.011851644,0.6067705750465393,0.0007782913187156737,0.1615966796875,0.013611915521323681
-2.175190190348402e-05,30256.67161141303,16,262144,-0.00043503330665016927,30296.176777173943,293,30256.67161141303,30269.84,10363.217553930559,894,0,-0.010510051565506728,-0.8153142980765551,0.0003,150,0.2,0.01496999,0.8554955124855042,0.0008773214031293719,0.15264892578125,0.010707459412515163
5.365162070934091e-05,30442.50011398172,17,278528,0.0010730611996654263,30367.949772036565,313,30385.01,30417.65,10374.161831102532,889,1,-0.004897750018244551,-0.5936877202242613,0.0003,160,0.2,0.006573689,-2.401987075805664,0.00018462656651365705,0.068096923828125,0.0003310537140350789
3.843079565925677e-05,30506.371213268187,18,294912,0.0007686306826345987,30435.597573463627,333,30459.35,30482.78,10427.8473553353,883,1,-0.004050925884439493,-0.601521889353171,0.0003,170,0.2,0.005582896,-0.5928488969802856,5.173072999511419e-05,0.044464111328125,0.021689634770154953
5.932402346313e-05,30032.826645682933,19,311296,0.0011865156633534056,29979.406708634135,354,29979.406708634135,30015.02,10462.405337759556,878,1,-0.006202566443243995,-0.5540974604082294,0.0003,180,0.2,0.009350941,-0.16559219360351562,2.061583995693894e-05,0.049371337890625,-0.011251372285187244
7.5145573558723664e-06,29457.981594740362,20,327680,0.00015029171180225179,29512.06681051927,374,29480.44,29476.01,10484.828346442706,874,0,-0.007293938294787949,-0.6045571960741654,0.0003,190,0.2,0.010212282,-0.1108710765838623,6.0544984313182226e-05,0.066839599609375,-0.03894175961613655
-1.7680619474528745e-05,29219.40860126526,21,344064,-0.0003536092634638619,29188.42279746949,395,29219.40860126526,29209.08,10516.69899573816,868,1,-0.0063250797838918515,-0.5608304708031937,0.0003,200,0.2,0.007303028,0.13074225187301636,0.00010165550834244641,0.0706298828125,-0.007949786260724068
-1.1015147273014829e-05,29541.120605930642,22,360448,-0.00022030173213075557,29560.64878813872,416,29541.120605930642,29547.63,10546.670756715228,864,0,-0.007478600439208094,-0.5476305890362709,0.0003,210,0.2,0.009186899,-0.20603108406066895,7.323835144177338e-05,0.079351806640625,0.01326235942542553
2.6049391710827736e-05,28697.683722528087,23,376832,0.0005209946199826352,28675.262554943827,438,28675.262554943827,28690.21,10562.525420767597,860,1,-0.005842820163343277,-0.539948904060293,0.0003,220,0.2,0.0070055192,-0.5669115781784058,2.2391373278907167e-05,0.049932861328125,-0.03140198811888695
1.535424261006571e-05,26454.570769080834,24,393216,0.00030708720974203846,26416.858461838336,459,26433.88,26442.0,10558.025373663071,855,1,-0.006642460374860093,-0.5435276074451394,0.0003,230,0.2,0.007307316,-0.3068960905075073,1.358120457330969e-05,0.05086669921875,0.0014724824577569962
-6.031734465105843e-05,27227.805614372,25,409600,-0.0012063105119322916,27129.388771256006,480,27227.805614372,27195.0,10587.663334533592,852,1,-0.008878338451904711,-0.7485920801293104,0.0003,240,0.2,0.01101879,0.4486859440803528,0.0012762903119892144,0.119232177734375,-0.018880188465118408
-0.01,0.0,26,425984,0.0,0.0,501,0.0,0.0,10609.963352014178,848,2,-0.00777627802308416,-0.6416684334399179,0.0003,250,0.2,0.009001914,0.325619637966156,0.0008856447470975582,0.088543701171875,0.006798647344112396
-0.01,0.0,27,442368,0.0,0.0,523,0.0,0.0,10649.06706667388,845,2,-0.009010949649200484,-0.6840852771187201,0.0003,260,0.2,0.0072562816,0.47032439708709717,0.0017352489609038456,0.08597412109375,-0.00874062068760395
2.7291567449842228e-05,26593.632292963917,28,458752,0.0005458387973639635,26561.55541407216,544,26568.43,26582.94,10687.685689791708,842,1,-0.008118598609326,-0.7124106892617419,0.0003,270,0.2,0.007449988,0.29781967401504517,0.0014786199621653396,0.084661865234375,-0.021089300513267517
2.3156981260214854e-05,27026.44450801239,29,475136,0.0004631449877049407,26980.050983975212,566,26998.47,27010.98,10734.912706379127,839,1,-0.00781634061177101,-0.647515359078534,0.0003,280,0.2,0.007640057,-0.5310598611831665,0.0003547685759883734,0.07806396484375,-0.012930548749864101
-9.263913921995446e-06,27516.284005315454,30,491520,-0.00018527742024087454,27546.301989369094,587,27521.19,27526.29,10752.01075266912,836,0,-0.008359610491243074,-0.5968737564864568,0.0003,290,0.2,0.008253675,0.45842719078063965,0.0002289798712041602,0.0808837890625,-0.023835664615035057
1.5298792602960305e-06,26804.49675153616,31,507904,3.059760861030546e-05,26789.446496927674,609,26798.66,26799.48,10788.652899577093,833,1,-0.008513905320432969,-0.5955070032156072,0.0003,300,0.2,0.006656479,-0.004210948944091797,0.00024153798983945763,0.07352294921875,-0.019656136631965637
