time/iterations,time/time_elapsed,time/fps,time/total_timesteps,trade/action,trade/exit_price,trade/tp_price,trade/sl_price,trade/entry_price,trade/balance,trade/trade_pnl,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl
28,4230,867,3670016,1,26568.43,26561.55541407216,26593.632292963917,26582.94,10446.582974545827,0.0005458387973639635,270,0.0003,0.00855450239032507,0.2,-0.5789673317296546,0.11145248413085937,6.245075035855585e-05,0.0023052497114008476,-0.0215529203414917,0.042549707
29,4461,851,3801088,1,26998.47,26980.050983975212,27026.44450801239,27010.98,10478.861375024588,0.0004631449877049407,280,0.0003,-0.020110642537474632,0.2,-0.6244473870232469,0.11908950805664062,0.00010383929863868601,-0.005173046179731955,0.10443747043609619,0.04479225
30,4697,836,3932160,0,27521.19,27546.301989369094,27516.284005315454,27526.29,10502.553789802781,-0.00018527742024087454,290,0.0003,0.019581906497478485,0.2,-0.5682717067480553,0.0855072021484375,6.0512781216459645e-05,-0.004385541578801622,0.1682681441307068,0.014191133
31,4938,822,4063232,0,26798.66,26809.513503072325,26794.46324846384,26799.48,10510.404711494435,-3.059760861030546e-05,300,0.0003,-0.020481020212173462,0.2,-0.6487960795318941,0.13483505249023436,0.00019292088988400735,-0.0074311869204848335,0.6506178379058838,0.017596934
32,5185,808,4194304,0,29260.72276584173,29326.384468316548,29260.72276584173,29282.61,10527.402854161368,-0.0007474482007673461,310,0.0003,-0.038295160979032516,0.2,-0.655978729846538,0.13166427612304688,0.0001498006965061194,-0.006592163412835817,0.618468165397644,0.016003326
33,5438,795,4325376,2,0.0,0.0,0.0,0.0,10570.575001497335,0.0,320,0.0003,-0.017198262736201286,0.2,-0.6975853759096935,0.13053207397460936,0.00024435361257424404,-0.006406893742200737,0.6919986605644226,0.013732529
34,5697,782,4456448,2,0.0,0.0,0.0,0.0,10557.853699554513,0.0,330,0.0003,0.0051828413270413876,0.2,-0.7814305975014577,0.16036148071289064,0.00045833977232447867,-0.007877436266892347,-0.020273685455322266,0.017717032
35,5961,769,4587520,2,0.0,0.0,0.0,0.0,10560.465385989779,0.0,340,0.0003,0.03411851450800896,0.2,-0.741936114168493,0.15913848876953124,0.00045855183476462,-0.00866889613930084,0.3378700017929077,0.018794578
36,6232,757,4718592,0,36510.0,36564.81896050026,36328.21051974987,36407.08,10577.261918187289,0.0028269226754795563,350,0.0003,-0.030751602724194527,0.2,-0.7644469356426271,0.16650161743164063,0.00041200576394615494,-0.009116650690424421,0.1500309705734253,0.01730688
37,6510,744,4849664,2,0.0,0.0,0.0,0.0,10573.750162800688,0.0,360,0.0003,-0.0035944227129220963,0.2,-0.8383783503988524,0.20814361572265624,0.00042721980894739887,-0.010674308578768433,0.4594349265098572,0.018391399
